snapshot_month,from_seg,to_seg,n,from_total,rate
2023-01,At_Risk,At_Risk,1496,1670.0,89.58
2023-01,At_Risk,Dormant,77,1670.0,4.61
2023-01,At_Risk,Low_Value,89,1670.0,5.33
2023-01,At_Risk,Loyal,5,1670.0,0.3
2023-01,At_Risk,Potential,1,1670.0,0.06
2023-01,At_Risk,Regular,2,1670.0,0.12
2023-01,Dormant,Dormant,16421,16889.0,97.23
2023-01,Dormant,Low_Value,342,16889.0,2.02
2023-01,Dormant,Loyal,8,16889.0,0.05
2023-01,Dormant,Potential,89,16889.0,0.53
2023-01,Dormant,Regular,28,16889.0,0.17
2023-01,Dormant,VIP,1,16889.0,0.01
2023-01,Low_Value,Dormant,212,5184.0,4.09
2023-01,Low_Value,Low_Value,4562,5184.0,88.0
2023-01,Low_Value,Loyal,215,5184.0,4.15
2023-01,Low_Value,Potential,9,5184.0,0.17
2023-01,Low_Value,Regular,166,5184.0,3.2
2023-01,Low_Value,VIP,20,5184.0,0.39
2023-01,Loyal,At_Risk,379,2521.0,15.03
2023-01,Loyal,Loyal,1780,2521.0,70.61
2023-01,Loyal,Regular,16,2521.0,0.63
2023-01,Loyal,VIP,346,2521.0,13.72
2023-01,Potential,At_Risk,64,484.0,13.22
2023-01,Potential,Low_Value,26,484.0,5.37
2023-01,Potential,Loyal,25,484.0,5.17
2023-01,Potential,Potential,321,484.0,66.32
2023-01,Potential,Regular,46,484.0,9.5
2023-01,Potential,VIP,2,484.0,0.41
2023-01,Regular,At_Risk,49,683.0,7.17
2023-01,Regular,Low_Value,16,683.0,2.34
2023-01,Regular,Loyal,166,683.0,24.3
2023-01,Regular,Potential,2,683.0,0.29
2023-01,Regular,Regular,418,683.0,61.2
2023-01,Regular,VIP,32,683.0,4.69
2023-01,VIP,Loyal,377,2646.0,14.25
2023-01,VIP,VIP,2269,2646.0,85.75
2023-02,At_Risk,At_Risk,1765,1988.0,88.78
2023-02,At_Risk,Dormant,108,1988.0,5.43
2023-02,At_Risk,Low_Value,107,1988.0,5.38
2023-02,At_Risk,Loyal,1,1988.0,0.05
2023-02,At_Risk,Regular,5,1988.0,0.25
2023-02,At_Risk,VIP,2,1988.0,0.1
2023-02,Dormant,Dormant,17428,17956.0,97.06
2023-02,Dormant,Low_Value,415,17956.0,2.31
2023-02,Dormant,Loyal,10,17956.0,0.06
2023-02,Dormant,Potential,74,17956.0,0.41
2023-02,Dormant,Regular,26,17956.0,0.14
2023-02,Dormant,VIP,3,17956.0,0.02
2023-02,Low_Value,At_Risk,7,5437.0,0.13
2023-02,Low_Value,Dormant,246,5437.0,4.52
2023-02,Low_Value,Low_Value,4690,5437.0,86.26
2023-02,Low_Value,Loyal,260,5437.0,4.78
2023-02,Low_Value,Potential,13,5437.0,0.24
2023-02,Low_Value,Regular,185,5437.0,3.4
2023-02,Low_Value,VIP,36,5437.0,0.66
2023-02,Loyal,At_Risk,467,2598.0,17.98
2023-02,Loyal,Low_Value,5,2598.0,0.19
2023-02,Loyal,Loyal,1734,2598.0,66.74
2023-02,Loyal,Potential,2,2598.0,0.08
2023-02,Loyal,Regular,8,2598.0,0.31
2023-02,Loyal,VIP,382,2598.0,14.7
2023-02,Potential,At_Risk,55,465.0,11.83
